,Name,Product,ML115_Empty_12-6hr,ML115_Empty_24-12hr,ML115_Empty_24-6hr,ML115_TE_12-6hr,ML115_TE_24-12hr,ML115_TE_24-6hr,LAR1_Empty_12-6hr,LAR1_Empty_24-12hr,LAR1_Empty_24-6hr,LAR1_TE_12-6hr,LAR1_TE_24-12hr,LAR1_TE_24-6hr
b0035,caiE,stimulator of CaiD and CaiB enzyme activities,-14.62021591,2.239311429,-12.38090448,-5.807564967,-2.063474443,-7.871039411,-2.611889305,-1.725546328,-4.337435633,-1.027084969,-5.251344689,-6.278429657
b0036,caiD,carnitinyl-CoA dehydratase,-0.777351269,-0.435440416,-1.212791685,2.387122684,-0.767746428,1.619376257,-0.416860772,0.293214075,-0.123646698,-0.054869538,6.771607419,6.716737881
b0037,caiC,putative crotonobetaine/carnitine-CoA ligase,0.6734507,1.746143096,2.419593796,-5.541569423,0.007752227,-5.533817196,-6.624764372,0.070488786,-6.554275586,-3.573129399,1.017039164,-2.556090236
b0038,caiB,crotonobetainyl CoA:carnitine CoA transferase,1.01602583,0.704455341,1.720481171,0.166530729,1.856747271,2.023278,-1.537010285,-0.077125763,-1.614136049,-5.920623347,1.58325309,-4.337370257
b0039,caiA,"crotonobetaine reductase subunit II, FAD-binding",0.259867836,-0.430556512,-0.170688676,0.290156566,-0.99399982,-0.703843254,1.807027505,0.06784884,1.874876345,-1.813304564,-0.666992311,-2.480296875
b0040,caiT,putative transporter,0.030443149,-0.900665093,-0.870221943,1.289506002,-0.02418241,1.265323592,-1.175626524,1.308667059,0.133040535,0.225574444,-1.751102975,-1.525528531
b0041,fixA,anaerobic carnitine reduction putative electron transfer flavoprotein subunit,2.432868534,-1.370844006,1.062024528,0.336446431,1.105524031,1.441970461,-0.860104375,2.393674939,1.533570564,-1.554359257,0.857700073,-0.696659184
b0042,fixB,"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",-1.023591023,4.31688803,3.293297007,-2.582426642,-0.219529654,-2.801956295,1.077098619,-0.302162132,0.774936487,0.435246314,0.824648435,1.259894749
b0043,fixC,putative oxidoreductase,-6.324919767,1.309384446,-5.015535321,1.247172537,-2.729452074,-1.482279536,-0.871528176,2.668853179,1.797325003,1.091791358,-2.838237005,-1.746445647
b0044,fixX,putative 4Fe-4S ferredoxin-type protein,-0.270254146,1.595072318,1.324818172,0.788828775,-1.131084684,-0.342255909,0.157217668,1.528298235,1.685515903,-0.430464647,0.789979493,0.359514846
b0045,yaaU,putative transporter,-5.474600984,1.85473023,-3.619870754,-1.949570982,-2.24494302,-4.194514001,-9.500449105,7.272526026,-2.227923079,-4.688327833,-0.006583882,-4.694911715
b0046,kefF,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",-1.122305378,1.479243798,0.35693842,-2.141300775,3.430383412,1.289082636,0.114747661,4.168754792,4.283502453,-0.902052587,1.466626888,0.5645743
b0047,kefC,potassium:proton antiporter,-0.996444925,-5.508205478,-6.504650403,-6.903183004,3.017785516,-3.885397488,0.952323258,-3.893382315,-2.941059058,-7.994502958,8.35875914,0.364256183
b0048,folA,dihydrofolate reductase,-8.384520525,-0.252958312,-8.637478837,0.740718528,-3.986708273,-3.245989744,-14.87002859,1.860497986,-13.0095306,-0.543447331,5.371636159,4.828188828
b0049,apaH,diadenosine tetraphosphatase,29.60234375,-49.97364822,-20.37130447,-63.60860005,-31.09227654,-94.7008766,14.66305883,-35.14669755,-20.48363873,68.31724548,55.56975678,123.8870023
b0050,apaG,protein associated with Co2+ and Mg2+ efflux,2.971297853,3.884551576,6.855849429,-1.546335788,-1.475031158,-3.021366946,1.806758498,7.189616328,8.996374825,4.098946663,25.45542184,29.5543685
b0051,rsmA,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",3.331406074,0.259568627,3.590974701,2.504827165,-3.855333757,-1.350506592,-14.74285936,17.32963786,2.5867785,-1.356026818,26.40594823,25.04992141
b0052,pdxA,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent",7.061193121,1.143135836,8.204328957,-0.766038605,1.070223346,0.304184741,-5.744115963,12.09238912,6.34827316,-2.518136808,27.4394601,24.92132329
b0053,surA,peptidyl-prolyl cis-trans isomerase (PPIase),1.037198916,1.779891173,2.817090089,-4.043644089,-1.015752236,-5.059396325,-0.923785553,9.140758678,8.216973125,-3.06762355,8.079202958,5.011579408
b0054,lptD,"LPS assembly OM complex LptDE, beta-barrel component",5.48974186,-7.864634587,-2.374892728,18.82984424,-13.08674568,5.743098565,10.63528382,5.15430084,15.78958466,8.958091115,5.482512455,14.44060357
b0055,djlA,"membrane-anchored DnaK co-chaperone, DNA-binding protein",-0.462433746,-0.781214296,-1.243648043,0.39876605,-0.39876605,0,0.048944793,0.332945574,0.381890367,1.190645714,-1.558061542,-0.367415827
b0058,rluA,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",11.63480763,3.632990128,15.26779776,-0.80314502,55.60144343,54.79829841,-16.0351908,-0.011494582,-16.04668538,-4.151801755,15.7378044,11.58600265
b0059,rapA,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase",-7.807031283,16.27001054,8.46297926,-9.66075483,23.74008681,14.07933198,-8.904637167,7.879514938,-1.02512223,-0.717530107,10.60273827,9.885208163
b0060,polB,DNA polymerase II,-1.037455078,7.958974727,6.92151965,-3.140072685,-6.401658438,-9.541731123,1.364162395,-1.59710552,-0.232943125,2.806319665,3.518493495,6.32481316
b0061,araD,L-ribulose-5-phosphate 4-epimerase,-7.600195546,-2.091101261,-9.691296806,-2.77520788,-0.429379266,-3.204587146,-6.382427664,-1.267950949,-7.650378613,-1.147997851,-1.065453265,-2.213451116
b0062,araA,L-arabinose isomerase,-5.47174545,-1.324437923,-6.796183373,-11.13103858,-4.105566988,-15.23660557,-9.572401125,3.393459415,-6.17894171,-5.170509143,7.31876469,2.148255548
b0063,araB,L-ribulokinase,3.041329538,-1.342489629,1.698839909,4.287612595,-0.177515294,4.110097301,5.625147472,-3.51786085,2.107286622,5.893452492,1.230199145,7.123651637
b0064,araC,ara regulon transcriptional activator; autorepressor,0.039908102,0.110194254,0.150102357,-1.521067777,2.499222326,0.978154549,-0.40803335,0.945968379,0.537935029,3.153194382,-5.781117687,-2.627923306
b0065,yabI,DedA family inner membrane protein,-3.617368489,-0.450802192,-4.068170681,-1.242065497,0.931766676,-0.310298821,-1.550641995,0.988528214,-0.562113781,-0.985711416,-2.057039616,-3.042751032
b0066,thiQ,"thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer",30.08144153,98.61275928,128.6942008,9.531748618,86.19614184,95.72789046,22.12265431,-0.081081922,22.04157238,-4.841825602,121.189649,116.3478234
b0067,thiP,"thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer",2.621235877,20.03067171,22.65190758,1.488596332,20.52807751,22.01667384,0.47308284,13.21599787,13.68908071,-17.56178014,51.5889126,34.02713246
b0068,thiB,"thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer",0.015658907,6.103495072,6.119153979,-0.285686521,2.191655851,1.90596933,1.797396096,3.685443028,5.482839124,-3.39626796,10.62732687,7.231058911
b0069,sgrR,transcriptional DNA-binding transcriptional activator of sgrS sRNA,-5.139843676,4.382664307,-0.757179369,1.882518807,10.60600632,12.48852512,-1.432801135,10.84329911,9.410497975,-7.695959028,11.70439129,4.00843226
b4577,sgrS,-,-0.468840077,-0.539602469,-1.008442545,-1.822480781,1.146130449,-0.676350332,0.46148594,0.184813709,0.64629965,3.52199762,-3.04981579,0.47218183
b4662,sgrT,inhibitor of glucose uptake,-0.254959877,0.162136354,-0.092823523,-0.731187598,0.619802962,-0.111384636,0.966523024,0.197454097,1.163977121,2.407659966,-2.810193323,-0.402533357
b0070,setA,broad specificity sugar efflux system,1.784933061,-0.880285328,0.904647733,0.241086655,-4.65097756,-4.409890904,-1.366237557,-1.533694621,-2.899932178,-2.723474367,-2.272689865,-4.996164232
b0071,leuD,3-isopropylmalate dehydratase small subunit,11.13321483,3.11845206,14.25166689,0.405989453,7.277824019,7.683813473,-3.650912575,-0.800423235,-4.45133581,4.8022012,25.62288905,30.42509025
b0072,leuC,3-isopropylmalate dehydratase large subunit,7.642276945,1.305417675,8.94769462,-2.58000573,11.05684999,8.476844256,-9.610448728,3.56699687,-6.043451858,-10.6831543,46.95113381,36.26797951
b0073,leuB,"3-isopropylmalate dehydrogenase, NAD(+)-dependent",2.446258929,3.35752829,5.803787218,5.177383818,2.012026741,7.189410559,-1.098838256,1.017064019,-0.081774237,0.525436142,15.96685119,16.49228733
b0074,leuA,2-isopropylmalate synthase,-31.01235422,-6.40690886,-37.41926308,46.49769548,-34.15319658,12.3444989,6.720554248,-1.712828223,5.007726025,-2.958948605,5.498397713,2.539449108
b0075,leuL,leu operon leader peptide,0,0,0,0,0.30870402,0.30870402,0.183274126,-0.183274126,0,0,0,0
b0076,leuO,global transcription factor,6.928612287,-8.468273107,-1.53966082,10.62206112,27.46965552,38.09171665,-2.203238856,-3.967711619,-6.170950475,10.92535084,-15.1687134,-4.243362556
b0077,ilvI,acetolactate synthase 3 large subunit,-2.067652349,-2.022215527,-4.089867876,-7.265108173,2.783085825,-4.482022348,-0.677263814,3.810383683,3.133119869,0.395077538,2.064348897,2.459426435
b0078,ilvH,"acetolactate synthase 3, small subunit, valine-sensitive",3.410413103,-5.380085224,-1.969672122,-2.015772947,0.313635714,-1.702137233,2.438395486,-1.425298728,1.013096758,1.219419886,-2.681479262,-1.462059376
b0080,cra,transcriptional repressor-activator for carbon metabolism,1.648050828,0.259566389,1.907617217,0.065539295,2.773567008,2.839106303,-1.229158055,-2.289948351,-3.519106406,0.78379326,1.73291685,2.516710109
b0081,mraZ,RsmH methytransferase inhibitor,-1.878439078,0.160726646,-1.717712432,2.432605701,-3.981814702,-1.549209,-0.467977735,0.996626641,0.528648907,2.703617264,-1.860119137,0.843498128
b0082,rsmH,"16S rRNA m(4)C1402 methyltransferase, SAM-dependent",-2.167559865,1.871299541,-0.296260323,1.63103939,2.089625316,3.720664706,-1.970140254,2.307719755,0.337579501,2.958767756,1.101977136,4.060744892
b0083,ftsL,membrane bound cell division protein at septum containing leucine zipper motif,1.42584872,1.412460028,2.838308748,3.098367844,4.861819537,7.960187381,1.81529905,-0.193770075,1.621528975,1.307330936,10.47260676,11.77993769
b0084,ftsI,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3),0.23914518,-6.766578748,-6.527433568,14.93355295,2.849420192,17.78297314,10.93132982,-6.3771391,4.55419072,14.61556953,1.173472855,15.78904239
b0085,murE,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,-0.198126092,-0.998645344,-1.196771436,2.405382549,-3.427691628,-1.02230908,-2.358490518,1.840171096,-0.518319421,-0.1441028,0.448985754,0.304882954
b0086,murF,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,3.376653468,-1.368755974,2.007897494,1.852416843,4.517693098,6.370109941,3.944623941,3.540467737,7.485091678,-1.397123637,1.301143785,-0.095979852
b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide transferase,-3.808104796,1.242991223,-2.565113574,-0.715168049,-0.996957655,-1.712125705,1.76415585,-0.907242211,0.856913639,1.062732244,-0.529959784,0.53277246
b0088,murD,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,-1.335347749,-0.806557464,-2.141905213,1.721088765,-1.867949716,-0.146860951,0.134061326,0.641434411,0.775495737,-0.972555506,0.220149989,-0.752405517
b0089,ftsW,lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division,3.688247874,-2.463309881,1.224937993,1.567218263,-1.323025368,0.244192895,4.831899078,-2.221944453,2.609954625,-2.271265747,1.210243479,-1.061022269
b0090,murG,N-acetylglucosaminyl transferase,3.195066493,0.874785374,4.069851868,0.215934284,-0.255671243,-0.039736959,-0.394505914,-1.597313125,-1.991819039,-0.395536744,2.268205888,1.872669144
b0091,murC,UDP-N-acetylmuramate:L-alanine ligase,2.851923579,-1.772926649,1.07899693,-1.962210863,-1.153651912,-3.115862775,0.308748325,-0.576499072,-0.267750747,1.376401007,-1.620460676,-0.244059669
b0092,ddlB,D-alanine:D-alanine ligase,-0.518262628,1.58914144,1.070878813,-0.246199394,-0.562269327,-0.808468721,-0.018392397,0.229291739,0.210899342,0.414778419,0.091750473,0.506528891
b0093,ftsQ,"divisome assembly protein, membrane anchored protein involved in growth of wall at septum",0.629759048,2.472510527,3.102269576,3.101904179,-2.526093214,0.575810965,1.34866979,1.881535638,3.230205428,0.626771038,1.267027799,1.893798837
b0094,ftsA,ATP-binding cell division protein involved in recruitment of FtsK to Z ring,-2.349701533,0.189391382,-2.16031015,3.597195108,-6.120193112,-2.522998004,0.350464827,-1.169772545,-0.819307718,-0.288667959,-0.619463159,-0.908131118
b0095,ftsZ,GTP-binding tubulin-like cell division protein,1.048883919,-0.186831146,0.862052773,5.278414795,-3.737767882,1.540646913,2.958447433,-0.381557305,2.576890127,-1.275390757,-1.500182155,-2.775572912
b0096,lpxC,UDP-3-O-acyl N-acetylglucosamine deacetylase,8.989938476,4.7995655,13.78950398,48.71803591,20.88216976,69.60020566,1.794171884,2.497079793,4.291251677,7.395107282,21.77540671,29.17051399
b0097,secM,regulator of secA translation,1.399077708,1.647173667,3.046251375,-1.361580947,-1.366352263,-2.72793321,3.520987325,2.229270382,5.750257707,-2.493153976,-0.715508589,-3.208662564
b0098,secA,"preprotein translocase subunit, ATPase",-2.261001141,-3.954745747,-6.215746888,-0.686677188,-4.774164079,-5.460841267,-0.983342216,1.568160356,0.58481814,-3.474179332,6.033283611,2.559104279
b0099,mutT,"nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP",-3.823883726,-4.71407594,-8.537959666,1.467757781,-5.914775245,-4.447017465,-0.550685807,-5.59974227,-6.150428077,3.338740514,-5.863166265,-2.524425751
b0101,yacG,DNA gyrase inhibitor,-4.156093258,0.533884897,-3.622208361,-7.55636331,1.885046958,-5.671316353,-29.36856779,-2.956462012,-32.3250298,-8.564874727,14.77616893,6.211294205
b0102,zapD,FtsZ stabilizer,1.039710079,0.530716788,1.570426868,6.116688793,10.49342245,16.61011124,-65.4688202,-0.878652217,-66.34747242,-17.18750562,39.32212877,22.13462315
b0103,coaE,dephospho-CoA kinase,1.157376935,-1.33916136,-0.181784426,-4.640379681,6.928745479,2.288365798,-9.591942868,-0.479227278,-10.07117015,-3.133293061,15.89321456,12.7599215
b0104,guaC,GMP reductase,-8.643673895,-9.306488228,-17.95016212,1.202791493,-14.12910592,-12.92631443,1.05146982,-6.60224238,-5.55077256,-0.523838757,-2.273409898,-2.797248655
b0106,hofC,"assembly protein in type IV pilin biogenesis, transmembrane protein",-13.89356381,20.4695125,6.57594869,3.93834406,4.428715628,8.367059688,-37.47380803,35.44732451,-2.02648352,-2.593502345,51.61682371,49.02332136
b0107,hofB,T2SE secretion family protein; P-loop ATPase superfamily protein,-6.741526128,1.516611753,-5.224914375,-1.274199955,3.786498333,2.512298378,-8.841376527,3.891727522,-4.949649005,-15.37241163,20.11280279,4.74039116
b0108,ppdD,putative prepilin peptidase-dependent pilin,-0.203054525,0.336604529,0.133550004,1.267389712,4.481597293,5.748987004,-3.740967363,2.80718772,-0.933779643,-3.507793911,0.895116689,-2.612677222
b0109,nadC,quinolinate phosphoribosyltransferase,-0.216423433,0.320427132,0.104003699,-8.054719692,6.147351072,-1.90736862,-1.469163255,7.983529425,6.51436617,-6.092254868,4.678261048,-1.41399382
b0110,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",0.863659035,-1.648177019,-0.784517984,-0.399454934,-0.915731719,-1.315186653,0.387618054,-1.260937388,-0.873319334,0.769528442,0.089417252,0.858945694
b0111,ampE,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation,3.31382459,-5.070520981,-1.756696391,9.122529511,-8.403189042,0.719340469,5.614196811,-3.644802467,1.969394344,-9.113779184,2.258982206,-6.854796978
b0112,aroP,aromatic amino acid transporter,-69.48181245,-50.79439205,-120.2762045,-25.82666519,-24.60219243,-50.42885761,56.33282632,-39.58476138,16.74806493,37.94861657,-49.52643035,-11.57781378
b0113,pdhR,pyruvate dehydrogenase complex repressor; autorepressor,0.628898105,-1.514385851,-0.885487747,7.819383907,13.28031188,21.09969579,5.261633266,-5.044497725,0.217135541,3.24789732,-1.309226006,1.938671313
b0114,aceE,"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding",-5.686638287,17.74847683,12.06183854,60.54631777,-1.51540425,59.03091352,14.10163298,0.195135023,14.296768,-6.063568003,2.945239195,-3.118328808
b0115,aceF,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2",-7.083198462,17.37843964,10.29524118,65.98490538,-41.1309351,24.85397028,-0.925916572,8.40963136,7.483714788,-12.53437243,7.407507103,-5.126865325
b0116,lpd,"lipoamide dehydrogenase, E3 component is part of three enzyme complexes",-11.07727196,7.926215686,-3.151056275,23.74321609,-32.64241708,-8.899200985,0.540557921,2.068304695,2.608862616,-4.368803138,7.850910205,3.482107068
b0117,yacH,uncharacterized protein,-44.54905538,-4.426987188,-48.97604257,22.67394058,-23.0724063,-0.398465718,-79.57627227,1.03615016,-78.54012211,-59.36292317,37.54842572,-21.81449745
b0118,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,-8.827477308,3.173947226,-5.653530082,8.378385615,-20.07967498,-11.70128936,-5.710251018,8.468212468,2.75796145,-2.453547658,3.250084495,0.796536838
b0119,yacL,UPF0231 family protein,-7.845300216,1.014472919,-6.830827297,-19.44886179,-1.509210743,-20.95807254,-28.42729347,5.121724555,-23.30556891,-6.983464302,-0.64975599,-7.633220292
b0120,speD,S-adenosylmethionine decarboxylase,-27.52724208,11.53619626,-15.99104582,28.23970463,-0.364981365,27.87472326,-45.1129256,-12.74033266,-57.85325826,-4.904374578,-5.20742207,-10.11179665
b0121,speE,spermidine synthase (putrescine aminopropyltransferase),-0.375813118,11.27227888,10.89646576,4.747613059,36.44365488,41.19126794,-37.18869976,2.161442,-35.02725776,3.845153658,26.86469808,30.70985174
b0122,yacC,PulS_OutS family protein,2.251179207,22.07427058,24.32544979,9.663518525,6.757265708,16.42078423,-7.40522514,2.502144138,-4.903081003,-5.321962529,6.184481434,0.862518905
b0123,cueO,multicopper oxidase (laccase),21.04221198,-4.86754494,16.17466704,11.35901637,3.35471209,14.71372846,18.38982613,20.30001837,38.6898445,1.090356823,47.16143648,48.2517933
b0124,gcd,glucose dehydrogenase,-4.51725101,-5.012268163,-9.529519173,8.592960172,-10.17728997,-1.584329801,-3.991671983,7.765845948,3.774173965,-0.1626454,8.068684615,7.906039215
b0125,hpt,hypoxanthine phosphoribosyltransferase,-2.529132493,3.275683387,0.746550894,4.364518471,-7.989534104,-3.625015634,7.602771551,10.62515463,18.22792618,-11.42767273,7.802324571,-3.625348163
b0126,can,carbonic anhydrase,-247.4404038,-146.3135984,-393.7540022,-387.494075,-138.4621084,-525.9561834,-155.9135211,-168.4503401,-324.3638612,101.6670537,-337.7172272,-236.0501735
b0127,yadG,putative ABC superfamily transporter ATP-binding subunit,0.600379246,-0.343146679,0.257232567,-0.120663811,-1.195917231,-1.316581042,1.380310746,-0.652446839,0.727863907,1.459091499,-1.39536628,0.06372522
b0128,yadH,inner membrane putative ABC superfamily transporter permease,1.362122226,0.078554395,1.440676621,0.623860953,0.645787387,1.26964834,1.688180452,3.547613314,5.235793765,-0.445098033,-0.00291672,-0.448014752
b0129,yadI,putative PTS Enzyme IIA,-7.707685468,1.994586835,-5.713098633,-6.591561213,-1.143258071,-7.734819284,-0.286092429,-0.123634884,-0.409727312,-3.75982002,5.219210363,1.459390343
b0130,yadE,putative polysaccharide deacetylase lipoprotein,-9.981479077,-16.42673366,-26.40821274,-60.9356333,2.335009873,-58.60062343,-21.43002416,-7.598732268,-29.02875643,-24.81265623,-13.63051972,-38.44317596
b0131,panD,aspartate 1-decarboxylase,-10.34531805,-6.629714123,-16.97503218,-5.933165055,7.611124355,1.6779593,12.10004305,-19.88666783,-7.78662478,19.34904709,-10.4822873,8.866759788
