,Name,Product,ML115_Empty_6hr_1,ML115_Empty_6hr_2,ML115_Empty_6hr_3,ML115_Empty_6hr_4,ML115_Empty_12hr_1,ML115_Empty_12hr_2,ML115_Empty_12hr_3,ML115_Empty_12hr_4,ML115_Empty_24hr_1,ML115_Empty_24hr_2,ML115_Empty_24hr_3,ML115_Empty_24hr_4,ML115_TE_6hr_1,ML115_TE_6hr_2,ML115_TE_6hr_3,ML115_TE_6hr_4,ML115_TE_12hr_1,ML115_TE_12hr_2,ML115_TE_12hr_3,ML115_TE_12hr_4,ML115_TE_24hr_1,ML115_TE_24hr_2,ML115_TE_24hr_3,ML115_TE_24hr_4,LAR1_Empty_6hr_1,LAR1_Empty_6hr_2,LAR1_Empty_6hr_3,LAR1_Empty_6hr_4,LAR1_Empty_12hr_1,LAR1_Empty_12hr_2,LAR1_Empty_12hr_3,LAR1_Empty_12hr_4,LAR1_Empty_24hr_1,LAR1_Empty_24hr_2,LAR1_Empty_24hr_3,LAR1_Empty_24hr_4,LAR1_TE_6hr_1,LAR1_TE_6hr_2,LAR1_TE_6hr_3,LAR1_TE_6hr_4,LAR1_TE_12hr_1,LAR1_TE_12hr_2,LAR1_TE_12hr_3,LAR1_TE_12hr_4,LAR1_TE_24hr_1,LAR1_TE_24hr_2,LAR1_TE_24hr_3,LAR1_TE_24hr_4
b0011,yaaW,UPF0174 family protein,11.40177781,9.9831979,17.23415325,18.37728193,3.546914938,12.62658934,13.37176546,6.611317032,13.76946353,16.36149144,17.38208699,12.98530616,5.061116588,12.5040375,6.845118183,6.705848721,35.01560597,14.35557778,31.67037114,20.12864541,77.92596876,61.41190143,46.41808572,56.80153965,17.8496437,19.88508213,16.66069007,24.98446012,9.825211578,13.92883354,15.53224331,18.12484241,23.58022014,16.24544567,19.69044255,22.8708396,21.38359751,26.7948058,25.77132234,26.59382142,18.46304938,22.44904241,16.71893882,18.26104654,49.89433181,38.34820905,44.79494997,43.41745772
b0013,yaaI,UPF0412 family protein,13.47482832,7.260507564,17.23415325,16.21524876,10.64074481,15.54041765,7.200181401,9.444738618,13.76946353,8.180745718,17.38208699,6.992087935,15.18334977,23.44507032,30.11852,14.75286719,15.75702269,11.16544938,11.31084684,11.50208309,10.95833936,11.05414226,5.018171429,3.704448238,18.89962274,13.60558251,21.10354076,10.86280875,7.55785506,9.530254527,12.15566868,7.974930662,10.64913168,6.962333859,12.11719541,20.09861662,8.848385179,8.244555632,10.85108309,11.08075893,6.391055555,7.262925484,6.018817974,8.185986378,0.779598935,8.112121145,4.977216663,6.202493961
b0014,dnaK,"chaperone Hsp70, with co-chaperone DnaJ",19.69397986,25.41177647,47.87264791,36.75456385,76.84982365,93.24250588,115.2029024,95.39186004,149.3457198,251.5579308,173.8208699,184.7908954,60.73339906,43.76413126,61.60606364,80.47018465,161.0717875,205.7632815,158.3518557,215.664058,84.01393507,140.0191353,139.2542572,158.0564581,15.74968562,15.69874905,14.43926473,8.690246999,12.0925681,15.39502654,29.03854184,18.84983611,50.20304933,36.3588546,47.71145694,24.25695109,52.35294564,46.71914858,45.43891043,65.74583629,31.24516049,36.97489337,43.46924092,25.81734165,38.97994673,47.93526131,49.77216663,80.63242149
b0015,dnaJ,"chaperone Hsp40, DnaK co-chaperone",4.146101023,0.907563445,1.914905917,0,3.546914938,6.798932721,4.114389372,1.888947724,5.29594751,12.27111858,6.207888211,5.99321823,0,6.252018751,2.738047273,4.023509233,12.25546209,15.95064198,4.524338735,7.188801933,1.217593262,14.73885634,8.781800001,16.05260903,8.399832329,3.13974981,6.664276029,14.12165137,1.511571012,5.864772017,6.077834338,2.899974786,7.606522625,8.509519161,2.27197414,6.930557454,11.06048147,6.870463027,3.390963465,6.648455355,4.970820988,4.621861672,2.006272658,6.296912599,9.355187215,8.849586704,14.93164999,11.62967618
b0016,insL1,IS186 transposase,105.7255761,114.3529941,90.95803104,122.154874,112.318973,98.0988864,98.74534493,92.55843845,206.5419529,195.315304,202.3771557,177.7988075,99.53529291,121.9143656,99.93872547,101.9289006,85.78823463,119.6298148,97.2732828,87.70338359,131.5000723,131.4214691,117.9270286,132.1253205,137.5472544,126.6365757,129.9533826,131.4399859,108.8331129,104.0997033,93.19345985,81.92428771,122.4650143,136.1523066,116.6280059,121.9778112,81.11019747,97.56057498,90.19962817,114.5011756,105.097358,102.3412227,111.0137537,98.23183654,71.72310198,72.27162475,68.85149717,57.37306914
b0018,mokC,"regulatory protein for HokC, overlaps CDS of hokC",2.073050511,4.537817227,3.829811833,4.324066335,20.09918465,12.62658934,17.48615483,5.666843171,43.42676958,34.7681693,38.48890691,26.96948203,10.12223318,15.63004688,6.845118183,8.047018465,24.51092418,12.76051358,4.524338735,11.50208309,19.48149219,23.33652254,25.09085715,38.27929846,25.19949699,21.97824867,14.43926473,24.98446012,13.60413911,16.12812305,14.18161346,13.77488023,58.57022421,58.01944883,47.71145694,35.34584302,25.8077901,42.59687076,37.30059812,53.9263601,28.40469136,25.09010622,18.72521147,19.52042906,102.1274604,60.47217581,124.4304166,106.2177091
b4412,hokC,"toxic membrane protein, small",2.073050511,4.537817227,3.829811833,4.324066335,16.55226971,11.65531324,16.45755749,5.666843171,36.01244307,32.72298287,33.52259634,25.97061233,10.12223318,12.5040375,6.845118183,8.047018465,24.51092418,12.76051358,4.524338735,11.50208309,18.26389893,19.65180846,21.32722857,33.34003414,22.04955986,18.83849886,13.32855206,21.7256175,12.0925681,13.92883354,14.18161346,13.04988654,52.48500611,51.83070762,41.65285923,30.4944528,23.59569381,37.10050034,33.90963465,46.53918749,25.56422222,23.10930836,16.71893882,17.00166402,95.11107002,53.09752022,109.4987666,95.36334464
b4413,sokC,-,18.6574546,12.70588824,19.14905917,18.37728193,14.18765975,20.39679816,23.65773889,17.00052951,25.42054805,30.67779644,26.07313049,27.96835174,25.30558294,28.13408438,23.27340182,32.18807386,12.25546209,15.95064198,11.31084684,18.69088503,37.74539112,34.3906648,32.61811429,20.99187335,19.94960178,15.69874905,19.99282809,16.29421312,13.60413911,8.797158025,8.103779118,10.87490545,11.40978394,10.83029711,14.38916955,10.39583618,14.74730863,8.931601935,10.1728904,15.5130625,15.62258025,17.82718073,32.10036253,22.0391941,15.59197869,20.64903564,23.22701109,17.83217014
b0019,nhaA,sodium-proton antiporter,6.219151534,2.722690336,1.914905917,7.567116087,2.364609958,9.712761029,7.200181401,6.611317032,7.414326514,10.22593215,7.449465853,13.98417587,3.374077726,1.563004688,12.32121273,12.0705277,3.501560597,3.190128395,6.786508102,5.751041547,18.26389893,9.825904229,10.03634286,3.704448238,30.44939219,25.11799848,18.88211542,26.070741,8.313640566,12.46264054,8.779094044,10.87490545,5.324565838,12.37748242,8.330571846,10.39583618,22.12096295,31.60412992,28.48409311,15.5130625,11.36187654,13.86558501,11.3688784,11.96413394,10.13478615,14.74931117,11.61350555,21.70872886
b0020,nhaR,transcriptional activator of nhaA,49.75321227,57.17649707,32.55340058,36.75456385,57.93294398,53.42018566,61.71584058,45.33474536,62.49218062,38.85854216,52.14626097,39.9547882,40.48893271,43.76413126,39.70168546,44.25860156,73.53277254,60.61243951,49.76772608,43.1328116,84.01393507,81.06370989,67.74531429,79.02822907,92.39815561,69.07449581,77.749887,69.521976,53.66077093,59.38081667,62.12897324,60.89947051,50.20304933,45.64196641,41.65285923,42.27640047,79.63546661,80.38441741,83.41770124,76.82659522,95.15571605,96.39882915,89.61351206,90.04585016,55.35152435,64.89696916,58.06752773,44.19276947
b0021,insB1,IS1 transposase B,157.5518389,151.5630954,113.936902,137.2891062,182.0749668,164.1456614,146.0608227,186.0613508,179.0030258,144.1856433,176.3040252,142.8383678,215.9409744,157.8634735,197.1394037,195.8107827,152.317886,172.2669333,135.730162,153.8403614,199.6852949,157.2144677,193.1996,161.7609064,77.69844904,103.6117437,98.85342776,115.1457727,102.0310433,122.4271159,128.985151,116.7239851,83.67174888,90.51034017,87.09234203,101.8791946,112.0795456,100.9958065,101.728904,87.90735414,86.63430864,98.37962701,93.62605737,98.23183654,171.5117656,178.4666652,174.2025832,192.2773128
b0022,insA,IS1 repressor TnpA,46.64363651,47.19329917,46.91519495,34.59253068,56.750639,52.44890956,43.2010884,52.89053626,67.78812813,66.46855896,65.80361504,61.92992171,59.0463602,45.32713595,53.39192183,46.94094105,43.76950746,43.06673334,54.29206482,38.81953044,81.57874854,72.46604369,67.74531429,51.86227533,40.9491826,38.72358099,35.54280549,44.53751587,37.03348979,36.65482511,36.46700603,34.79969743,30.4260905,27.84933544,24.23439083,39.50417749,42.76719503,36.41345404,37.30059812,27.33253868,24.85410494,19.80797859,23.40651434,29.59548921,83.417086,70.05922807,74.65824994,77.53117451
b0023,rpsT,30S ribosomal subunit protein S20,6.219151534,10.89076135,10.53198254,7.567116087,9.458439834,17.48296985,15.42896014,13.22263406,10.59189502,14.31630501,9.932621138,11.98643646,8.435194314,4.689014063,27.38047273,28.16456463,10.50468179,7.975320988,11.31084684,21.5664058,6.087966309,4.912952115,5.018171429,14.81779295,3.149937123,6.279499619,11.10712671,10.86280875,8.313640566,14.66193004,8.103779118,7.249936965,10.64913168,6.188741208,9.845221273,9.00972469,16.22203949,8.244555632,11.52927578,12.55819345,10.65175926,9.243723343,12.03763595,11.33444268,9.355187215,13.27438006,11.61350555,4.65187047
b0024,yaaY,uncharacterized protein,23.84008088,28.13446681,26.80868283,32.43049752,20.09918465,23.31062647,17.48615483,16.05605565,26.47973755,25.56483037,23.5899752,19.9773941,30.36669953,29.69708907,49.28485092,44.25860156,8.753901492,9.570385186,6.786508102,10.06432271,4.870373047,2.456476057,3.763628572,2.469632159,61.94876342,61.74841292,62.1999096,53.22776287,5.290498542,7.330965021,6.753149265,6.524943269,3.803261313,4.641555906,3.029298853,5.544445963,19.17150122,16.48911126,16.95481733,22.90023511,6.391055555,7.262925484,8.025090632,8.185986378,3.118395738,2.949862235,2.488608331,3.10124698
b0025,ribF,bifunctional riboflavin kinase/FAD synthetase,1.036525256,2.722690336,1.914905917,7.567116087,4.729219917,3.885104412,4.114389372,5.666843171,5.29594751,2.04518643,4.966310569,1.99773941,8.435194314,3.126009376,9.583165456,6.705848721,0,1.595064198,9.04867747,4.31328116,1.217593262,1.228238029,2.509085715,4.939264317,1.049979041,0,6.664276029,3.258842625,4.534713036,5.131675515,2.025944779,2.17498109,5.324565838,1.547185302,1.514649427,2.079167236,0.737365432,2.748185211,1.356385386,2.954869047,4.970820988,4.621861672,4.012545316,4.407838819,5.457192542,2.949862235,0.82953611,1.55062349
b0026,ileS,isoleucyl-tRNA synthetase,13.47482832,30.85715715,19.14905917,14.05321559,21.28148963,6.798932721,8.228778744,19.8339511,13.76946353,30.67779644,22.34839756,18.97852439,15.18334977,14.06704219,19.16633091,14.75286719,17.50780298,9.570385186,15.83518557,17.25312464,15.8287124,23.33652254,21.32722857,11.11334471,14.69970657,14.65216578,14.43926473,15.20793225,13.60413911,12.46264054,12.15566868,20.2998235,8.367174888,14.69826037,9.08789656,8.316668945,11.06048147,10.30569454,8.81650501,11.08075893,20.59340123,9.243723343,8.025090632,17.63135528,17.15117656,8.849586704,16.59072221,16.28154665
b0027,lspA,prolipoprotein signal peptidase (signal peptidase II),7.25567679,7.260507564,15.31924733,8.648132671,9.458439834,2.913828309,8.228778744,5.666843171,5.29594751,3.067779644,7.449465853,7.99095764,8.435194314,6.252018751,17.79730728,6.705848721,15.75702269,14.35557778,6.786508102,4.31328116,9.740746095,2.456476057,16.30905714,7.408896476,4.199916164,8.372666159,3.332138014,4.3451235,3.023142024,6.597868519,4.051889559,7.249936965,4.563913575,2.320777953,4.54394828,9.00972469,2.949461726,5.496370421,4.747348851,5.909738094,3.55058642,3.961595719,7.356333079,5.667221339,7.795989346,5.899724469,3.318144442,3.10124698
b0028,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),0,3.630253782,0.957452958,0,0,0,0,0,0,2.04518643,0,0,3.374077726,1.563004688,1.369023637,1.341169744,0,0,0,0,0,1.228238029,0,0,0,0,0,1.086280875,0,0.733096502,0,0,0,0.773592651,0,0,0,0.687046303,0,0,0,0,0,0.62969126,0,0,0.82953611,0
b0029,ispH,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",0,0,0,2.162033168,0,0,2.057194686,0.944473862,2.118379004,3.067779644,1.241577642,0,0,0,1.369023637,6.705848721,0,1.595064198,4.524338735,2.875520773,0,3.684714086,1.254542857,1.234816079,1.049979041,1.04658327,1.110712671,3.258842625,2.267356518,2.932386008,2.701259706,2.17498109,0.760652263,3.094370604,0,0.693055745,0,0.687046303,2.712770772,5.909738094,2.130351852,0,1.337515105,1.25938252,3.897994673,2.949862235,0,0.775311745
b0030,rihC,ribonucleoside hydrolase 3,11.40177781,27.22690336,38.29811833,29.18744776,13.00535477,33.9946636,25.71493357,15.11158179,20.12460054,39.88113538,13.65735406,25.97061233,11.80927204,25.008075,4.10707091,12.0705277,28.01248478,19.14077037,9.04867747,20.12864541,7.305559571,8.597666201,16.30905714,19.75705727,9.44981137,11.51241597,4.442850686,7.603966125,11.33678259,8.797158025,10.1297239,15.94986132,11.40978394,16.24544567,14.38916955,8.316668945,6.636288884,6.183416724,5.425541544,8.125889879,9.231524691,14.52585097,10.03136329,10.07506016,7.795989346,8.849586704,9.124897215,10.85436443
b0031,dapB,dihydrodipicolinate reductase,0,0.907563445,0.957452958,0,0,0.971276103,4.114389372,1.888947724,0,0,0,0,0,0,0,1.341169744,3.501560597,0,0,0,0,0,1.254542857,2.469632159,0,0,2.221425343,4.3451235,1.511571012,0,0.675314926,0.724993697,1.521304525,1.547185302,0,0,0.737365432,0,1.356385386,0.738717262,0,0.660265953,0,0,0.779598935,0.737465559,0,0
b0032,carA,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",1.036525256,6.352944118,9.574529583,11.89118242,3.546914938,9.712761029,3.085792029,1.888947724,7.414326514,1.022593215,1.241577642,0,1.687038863,3.126009376,6.845118183,8.047018465,1.750780298,4.785192593,2.262169367,4.31328116,0,1.228238029,3.763628572,3.704448238,14.69970657,1.04658327,6.664276029,4.3451235,6.802069554,6.597868519,5.402519412,2.17498109,1.521304525,2.320777953,0,5.544445963,5.898923452,4.122277816,6.78192693,1.477434523,4.260703704,1.980797859,2.675030211,2.518765039,3.897994673,1.474931117,4.977216663,0
b0033,carB,carbamoyl-phosphate synthase large subunit,23.84008088,21.78152269,27.76613579,30.26846435,14.18765975,24.28190257,17.48615483,19.8339511,27.53892705,23.51964394,19.86524228,32.96270026,23.61854408,28.13408438,24.64242546,24.1410554,22.76014388,27.11609136,20.35952431,24.44192657,20.69908545,11.05414226,7.527257144,14.81779295,8.399832329,11.51241597,15.5499774,15.20793225,17.38306664,16.12812305,20.93476272,17.39984872,15.21304525,26.30215013,16.66114369,20.09861662,17.69677036,7.557509329,17.63301002,16.99049702,20.59340123,18.48744669,18.05645392,18.26104654,17.93077549,17.69917341,18.24979443,11.62967618
b0034,caiF,cai operon transcriptional activator,7.25567679,6.352944118,7.659623666,8.648132671,3.546914938,0.971276103,4.114389372,1.888947724,7.414326514,7.158152504,1.241577642,5.99321823,1.687038863,3.126009376,2.738047273,2.682339488,1.750780298,6.380256791,6.786508102,4.31328116,4.870373047,3.684714086,5.018171429,8.643712555,6.299874246,4.18633308,4.442850686,7.603966125,3.023142024,3.665482511,3.376574632,3.624968483,6.845870363,3.867963255,6.058597707,7.6236132,5.898923452,4.809324119,8.138312316,8.125889879,2.130351852,3.301329765,2.675030211,2.518765039,2.338796804,5.162258911,1.659072221,0.775311745
b0035,caiE,stimulator of CaiD and CaiB enzyme activities,16.58440409,10.89076135,18.19160621,21.62033168,0,1.942552206,3.085792029,3.777895447,5.29594751,1.022593215,7.449465853,3.99547882,10.12223318,12.5040375,9.583165456,6.705848721,5.252340895,1.595064198,4.524338735,4.31328116,1.217593262,0,2.509085715,3.704448238,8.399832329,7.326082889,6.664276029,5.431404375,5.290498542,5.131675515,4.051889559,2.899974786,3.04260905,2.320777953,3.029298853,2.079167236,11.06048147,8.244555632,4.069156158,10.34204166,3.55058642,5.282127625,10.70012084,10.07506016,1.559197869,2.949862235,3.318144442,0.775311745
b0036,caiD,carnitinyl-CoA dehydratase,1.036525256,0,2.872358875,3.243049752,1.182304979,0.971276103,0,1.888947724,1.059189502,0,1.241577642,0,0,3.126009376,1.369023637,1.341169744,7.003121194,1.595064198,6.786508102,0,2.435186524,3.684714086,1.254542857,4.939264317,0,5.23291635,3.332138014,3.258842625,3.023142024,2.932386008,2.025944779,2.17498109,3.803261313,3.867963255,2.27197414,1.386111491,4.424192589,2.061138908,3.390963465,5.171020832,5.680938271,4.621861672,2.006272658,2.518765039,13.25318189,11.06198338,8.295361105,9.303740941
b0037,caiC,putative crotonobetaine/carnitine-CoA ligase,11.40177781,20.87395925,13.40434142,9.729149255,5.911524896,19.42552206,19.54334952,13.22263406,21.18379004,13.29371179,18.62366463,11.98643646,13.4963109,10.94103281,8.214141819,21.45871591,12.25546209,7.975320988,4.524338735,7.188801933,13.39352588,7.369428172,6.272714286,4.939264317,16.79966466,16.74533232,13.32855206,11.94908962,8.313640566,9.530254527,10.1297239,4.349962179,8.367174888,6.962333859,7.573247133,9.702780436,17.69677036,8.931601935,8.81650501,12.55819345,5.680938271,7.923191437,10.03136329,10.07506016,8.57558828,10.32451782,4.147680552,14.73092316
b0038,caiB,crotonobetainyl CoA:carnitine CoA transferase,2.073050511,2.722690336,0,0,0,3.885104412,3.085792029,1.888947724,3.177568506,1.022593215,2.483155284,4.994348525,0,1.563004688,1.369023637,1.341169744,3.501560597,0,0,1.437760387,2.435186524,4.912952115,5.018171429,0,3.149937123,7.326082889,3.332138014,5.431404375,2.267356518,4.398579013,1.350629853,5.074955876,4.563913575,3.867963255,2.27197414,2.079167236,7.373654315,10.99274084,5.425541544,6.648455355,2.840469136,1.320531906,1.337515105,1.25938252,2.338796804,5.162258911,2.488608331,3.10124698
b0039,caiA,"crotonobetaine reductase subunit II, FAD-binding",4.146101023,1.815126891,0.957452958,0,1.182304979,2.913828309,1.028597343,2.833421585,0,0,1.241577642,4.994348525,3.374077726,3.126009376,0,0,0,4.785192593,0,2.875520773,0,3.684714086,0,0,2.099958082,2.09316654,2.221425343,1.086280875,6.046284048,2.932386008,0.675314926,5.074955876,3.04260905,4.641555906,4.54394828,2.772222982,2.949461726,2.748185211,5.425541544,8.125889879,2.840469136,3.961595719,2.675030211,2.518765039,2.338796804,2.949862235,2.488608331,1.55062349
b0040,caiT,putative transporter,5.182626279,0.907563445,2.872358875,1.081016584,2.364609958,5.827656618,1.028597343,0.944473862,1.059189502,1.022593215,2.483155284,1.99773941,0,3.126009376,1.369023637,4.023509233,0,3.190128395,9.04867747,1.437760387,4.870373047,2.456476057,5.018171429,1.234816079,3.149937123,0,6.664276029,4.3451235,3.023142024,0.733096502,1.350629853,4.349962179,6.0852181,1.547185302,1.514649427,5.544445963,3.686827158,0.687046303,3.390963465,5.909738094,2.130351852,1.980797859,6.687575527,3.778147559,1.559197869,3.687327793,0,2.325935235
b0041,fixA,anaerobic carnitine reduction putative electron transfer flavoprotein subunit,2.073050511,5.445380673,0.957452958,0,9.458439834,2.913828309,2.057194686,3.777895447,3.177568506,3.067779644,2.483155284,3.99547882,1.687038863,0,0,0,0,1.595064198,0,1.437760387,0,2.456476057,3.763628572,1.234816079,4.199916164,5.23291635,5.553563357,0,3.77892753,3.665482511,3.376574632,0.724993697,2.281956788,7.73592651,8.330571846,2.772222982,2.212096295,0,4.069156158,5.909738094,0.710117284,0.660265953,3.343787763,1.25938252,5.457192542,0.737465559,1.659072221,1.55062349
